.region_id,ecometric,year,value,time_period
25025092400,Guns,2017,10.7,2017-01-01
25025092400,Guns,2018,6.68,2018-01-01
25025092400,Guns,2019,9.31,2019-01-01
25025092300,Guns,2010,0.32,2010-01-01
25025092300,Guns,2011,10.53,2011-01-01
25025092300,Guns,2012,9.48,2012-01-01
25025092300,Guns,2013,7.24,2013-01-01
25025092300,Guns,2014,5.91,2014-01-01
25025092300,Guns,2015,12.79,2015-01-01
25025092300,Guns,2016,10.8,2016-01-01
25025092300,Guns,2017,13.07,2017-01-01
25025092300,Guns,2018,7.1,2018-01-01
25025092300,Guns,2019,8.25,2019-01-01
25025092200,Guns,2010,1.38,2010-01-01
25025092200,Guns,2011,13.37,2011-01-01
25025092200,Guns,2012,10.47,2012-01-01
25025092200,Guns,2013,10.42,2013-01-01
25025092200,Guns,2014,14.61,2014-01-01
25025092200,Guns,2015,12.86,2015-01-01
25025092200,Guns,2016,19.3,2016-01-01
25025092200,Guns,2017,15.01,2017-01-01
25025092200,Guns,2018,17.46,2018-01-01
25025092200,Guns,2019,15.13,2019-01-01
25025092000,Guns,2010,1.32,2010-01-01
25025092000,Guns,2011,7.85,2011-01-01
25025092000,Guns,2012,9.27,2012-01-01
25025092000,Guns,2013,14.19,2013-01-01
25025092000,Guns,2014,9.26,2014-01-01
25025092000,Guns,2015,8.48,2015-01-01
25025092000,Guns,2016,8.48,2016-01-01
25025092000,Guns,2017,9.4,2017-01-01
25025092000,Guns,2018,6.08,2018-01-01
25025092000,Guns,2019,6.92,2019-01-01
25025091900,Guns,2010,0.98,2010-01-01
25025091900,Guns,2011,7.49,2011-01-01
25025091900,Guns,2012,5.65,2012-01-01
25025091900,Guns,2013,14.19,2013-01-01
25025091900,Guns,2014,8.96,2014-01-01
25025091900,Guns,2015,12.47,2015-01-01
25025091900,Guns,2016,9.48,2016-01-01
25025091900,Guns,2017,9.73,2017-01-01
25025091900,Guns,2018,6.73,2018-01-01
25025091900,Guns,2019,8.11,2019-01-01
25025091800,Guns,2010,0.87,2010-01-01
25025091800,Guns,2011,13.29,2011-01-01
25025091800,Guns,2012,7.6,2012-01-01
25025091800,Guns,2013,8.92,2013-01-01
25025091800,Guns,2014,9.15,2014-01-01
25025091800,Guns,2015,16.8,2015-01-01
25025091800,Guns,2016,13.22,2016-01-01
25025091800,Guns,2017,12.67,2017-01-01
25025091800,Guns,2018,9.09,2018-01-01
25025091800,Guns,2019,7.37,2019-01-01
25025091700,Guns,2010,0.6,2010-01-01
25025091700,Guns,2011,5.26,2011-01-01
25025091700,Guns,2012,10.53,2012-01-01
25025091700,Guns,2013,16.95,2013-01-01
25025091700,Guns,2014,10.86,2014-01-01
25025091700,Guns,2015,11.4,2015-01-01
25025091700,Guns,2016,11.71,2016-01-01
25025091700,Guns,2017,16.02,2017-01-01
25025091700,Guns,2018,5.55,2018-01-01
25025091700,Guns,2019,8.71,2019-01-01
25025091600,Guns,2010,1.58,2010-01-01
25025091600,Guns,2011,6.25,2011-01-01
25025091600,Guns,2012,4.18,2012-01-01
25025091600,Guns,2013,14.78,2013-01-01
25025091600,Guns,2014,5.59,2014-01-01
25025091600,Guns,2015,4.39,2015-01-01
25025091600,Guns,2016,7.44,2016-01-01
25025091600,Guns,2017,11.49,2017-01-01
25025091600,Guns,2018,9.8,2018-01-01
25025091600,Guns,2019,7.08,2019-01-01
25025981100,Guns,2010,0,2010-01-01
25025981100,Guns,2011,0,2011-01-01
25025981100,Guns,2012,0,2012-01-01
25025981100,Guns,2013,3.36,2013-01-01
25025981100,Guns,2014,0,2014-01-01
25025981100,Guns,2015,0,2015-01-01
25025981100,Guns,2016,0,2016-01-01
25025981100,Guns,2017,0,2017-01-01
25025981100,Guns,2018,0,2018-01-01
25025981100,Guns,2019,0,2019-01-01
25025140105,Guns,2010,0,2010-01-01
25025140105,Guns,2011,2.36,2011-01-01
25025140105,Guns,2012,1.22,2012-01-01
25025140105,Guns,2013,0.5,2013-01-01
25025140105,Guns,2014,1.78,2014-01-01
25025140105,Guns,2015,2.89,2015-01-01
25025140105,Guns,2016,1.45,2016-01-01
25025140105,Guns,2017,0.96,2017-01-01
25025140105,Guns,2018,1.21,2018-01-01
